"","id","value"
"1",1,66.5678812030339
"2",2,26.448334801207
"3",3,66.4285384726267
"4",4,89.0132742837348
"5",5,25.307990673356
"6",6,26.0115264663415
"7",7,89.1249222149056
"8",8,25.307990673356
"9",9,66.4285384726267
"10",10,25.307990673356
"11",11,88.97951791043
"12",12,27.545521875
"13",13,89.2352861747805
"14",14,59.9409110714672
"15",15,27.7294425520149
"16",16,83.486288153275
"17",17,66.522477968447
"18",18,66.5678812030339
"19",19,26.3585288137683
"20",20,29.5390559827491
"21",21,66.5513633982239
"22",22,66.6726658860878
"23",23,33.8452771362684
"24",24,66.4285384726267
"25",25,78.2678512694622
"26",26,66.8048443379594
"27",27,25.307990673356
"28",28,25.307990673356
"29",29,66.4285384726267
"30",30,36.8056281661661
"31",31,66.6194694150985
"32",32,29.5390559827491
"33",33,88.7633404072934
"34",34,25.307990673356
"35",35,25.307990673356
"36",36,28.2185243374434
"37",37,74.1744427816068
"38",38,89.8171784978382
"39",39,26.7424602327676
"40",40,66.522477968447
"41",41,89.8171784978382
"42",42,66.7921945969141
"43",43,66.7985323811709
"44",44,66.5678812030339
"45",45,66.6726658860878
"46",46,89.8171784978382
"47",47,89.5897775307666
"48",48,25.307990673356
"49",49,89.8171784978382
"50",50,89.8171784978382
"51",51,25.5053050668541
"52",52,89.3659639006497
"53",53,26.403390392649
"54",54,26.1200068456504
"55",55,66.8363255320874
"56",56,70.1265970913309
"57",57,66.4285384726267
"58",58,66.4285384726267
"59",59,25.307990673356
"60",60,33.0040403229489
"61",61,25.307990673356
"62",62,76.4933282103274
"63",63,89.0132742837348
"64",64,66.4285384726267
"65",65,78.3528715280084
"66",66,89.5897775307666
"67",67,31.74383469892
"68",68,54.811492463878
"69",69,89.8171784978382
"70",70,25.307990673356
"71",71,26.2066323341787
"72",72,27.1090528258733
"73",73,26.1200068456504
"74",74,25.307990673356
"75",75,89.7250769894286
"76",76,49.4707039808765
"77",77,40.6839392287198
"78",78,25.3507131188294
"79",79,89.8171784978382
"80",80,25.3763983391279
"81",81,89.2462337743342
"82",82,66.4285384726267
"83",83,66.4285384726267
"84",84,36.8056281661661
"85",85,29.5390559827491
"86",86,36.8056281661661
"87",87,25.307990673356
"88",88,25.307990673356
"89",89,29.5390559827491
"90",90,26.1200068456504
"91",91,25.6697844404099
"92",92,27.7294425520149
"93",93,27.1783364107935
"94",94,89.8171784978382
"95",95,25.307990673356
"96",96,66.4285384726267
"97",97,66.522477968447
"98",98,66.6985220913337
"99",99,89.8171784978382
"100",100,25.6524071422669
